Match ID,Team 1,Team 2,T1 Pre-Match Odds,T2 Pre-Match Odds,Map 1,M1 Score,Map 2,M2 Score,Map 3,M3 Score,Map 4,M4 Score,Map 5,M5 Score,Match URL
706373,ENVY,NRG,6.60,1.10,Breeze,6-13,Haven,9-13,,,,,,,https://www.vlr.gg/706373/envy-vs-nrg-vct-2026-americas-stage-2-w4
698910,Team Secret,DetonatioN FocusMe,2.16,1.64,Breeze,6-13,Split,11-13,,,,,,,https://www.vlr.gg/698910/team-secret-vs-detonation-focusme-vct-2026-pacific-stage-2-w4
724623,All Gamers,Trace Esports,1.30,3.25,Sunset,5-13,Split,13-8,Summit,13-2,,,,,https://www.vlr.gg/724623/all-gamers-vs-trace-esports-vct-2026-china-stage-2-ubqf
698911,Gen.G,FULL SENSE,1.59,2.27,Lotus,13-8,Sunset,10-13,Split,13-11,,,,,https://www.vlr.gg/698911/gen-g-vs-full-sense-vct-2026-pacific-stage-2-w4
724624,EDward Gaming,"Wuxi Titan Esports Club						
							(Titan Esports Club)",1.15,5.04,Sunset,13-7,Split,11-13,Ascent,9-13,,,,,https://www.vlr.gg/724624/edward-gaming-vs-titan-esports-club-vct-2026-china-stage-2-ubqf
729666,PCIFIC Esports,REBORN,2.09,1.68,Summit,5-13,Split,6-13,,,,,,,https://www.vlr.gg/729666/pcific-esports-vs-reborn-vct-2026-emea-stage-2-ur1
729667,FNATIC,Enterprise Esports,1.38,2.88,Lotus,13-3,Split,10-13,Haven,11-13,,,,,https://www.vlr.gg/729667/fnatic-vs-enterprise-esports-vct-2026-emea-stage-2-ur1
706374,100 Thieves,Cloud9,1.09,6.42,Split,13-15,Breeze,11-13,,,,,,,https://www.vlr.gg/706374/100-thieves-vs-cloud9-vct-2026-americas-stage-2-w4
706375,G2 Esports,LOUD,1.19,4.31,Sunset,13-15,Lotus,1-13,,,,,,,https://www.vlr.gg/706375/g2-esports-vs-loud-vct-2026-americas-stage-2-w4
698912,KIWOOM DRX,T1,2.65,1.44,Lotus,9-13,Breeze,5-13,,,,,,,https://www.vlr.gg/698912/kiwoom-drx-vs-t1-vct-2026-pacific-stage-2-w4
724625,A Team,Wolves Esports,4.04,1.20,Haven,13-11,Ascent,8-13,Summit,14-16,,,,,https://www.vlr.gg/724625/a-team-vs-wolves-esports-vct-2026-china-stage-2-lr1
